course,lesson,resource_title,original_url,local_path,kind
Automation Blueprints,Automation Blueprints,https://aijack.carrd.co/,https://aijack.carrd.co/,,external
Automation Blueprints,Automation Blueprints,1bryNV3XPH-P6akBfX873X-gNxkbooM56,https://drive.google.com/file/d/1bryNV3XPH-P6akBfX873X-gNxkbooM56/view?usp=sharing,raw\automation-blueprints__automation-blueprints\1bryNV3XPH-P6akBfX873X-gNxkbooM56.json,drive_file
Automation Blueprints,Automation Blueprints,1F6gJufZLmTbIrYoE08QFAvu4DtL-EIY7,https://drive.google.com/file/d/1F6gJufZLmTbIrYoE08QFAvu4DtL-EIY7/view?usp=sharing,raw\automation-blueprints__automation-blueprints\1F6gJufZLmTbIrYoE08QFAvu4DtL-EIY7.json,drive_file
Automation Blueprints,Automation Blueprints,1EKkfgI8YnkQbXWVTepdp8B8GHR6bTnCb,https://drive.google.com/file/d/1EKkfgI8YnkQbXWVTepdp8B8GHR6bTnCb/view?usp=sharing,raw\automation-blueprints__automation-blueprints\1EKkfgI8YnkQbXWVTepdp8B8GHR6bTnCb.json,drive_file
Automation Blueprints,Automation Blueprints,1V5SLRIx5jNM-tYAovL6FH5dn1ros8-gr,https://drive.google.com/file/d/1V5SLRIx5jNM-tYAovL6FH5dn1ros8-gr/view?usp=sharing,raw\automation-blueprints__automation-blueprints\1V5SLRIx5jNM-tYAovL6FH5dn1ros8-gr.json,drive_file
Automation Blueprints,Automation Blueprints,https://www.youtube-nocookie.com/embed/G50t9N_LtZQ?rel=0&loop=0&controls=1&cc_load_policy=0&autoplay=0,https://www.youtube-nocookie.com/embed/G50t9N_LtZQ?rel=0&loop=0&controls=1&cc_load_policy=0&autoplay=0,,external
Automation Blueprints,Automation Blueprints,https://www.youtube-nocookie.com/embed/t3L0_Wts6PI?rel=0&loop=0&controls=1&cc_load_policy=0&autoplay=0,https://www.youtube-nocookie.com/embed/t3L0_Wts6PI?rel=0&loop=0&controls=1&cc_load_policy=0&autoplay=0,,external
Automation Blueprints,Automation Blueprints,https://www.youtube-nocookie.com/embed/MgonWmVkiVg?rel=0&loop=0&controls=1&cc_load_policy=0&autoplay=0,https://www.youtube-nocookie.com/embed/MgonWmVkiVg?rel=0&loop=0&controls=1&cc_load_policy=0&autoplay=0,,external
